# TDB, UTC, DOY, new-SCLK, old-SCLK, difference
123160000 2003-11-26T23:05:35.817023 330 1448580468.666994 1448580468.703896 -0.036903
123180000 2003-11-27T04:38:55.817018 331 1448600468.797348 1448600468.834372 -0.037024
123200000 2003-11-27T10:12:15.817012 331 1448620468.927703 1448620468.964848 -0.037145
123220000 2003-11-27T15:45:35.817007 331 1448640469.058058 1448640469.095325 -0.037267
123240000 2003-11-27T21:18:55.817002 331 1448660469.188412 1448660469.225801 -0.037388
123260000 2003-11-28T02:52:15.816996 332 1448680469.318767 1448680469.356277 -0.037510
123280000 2003-11-28T08:25:35.816991 332 1448700469.449122 1448700469.486753 -0.037631
123300000 2003-11-28T13:58:55.816986 332 1448720469.579476 1448720469.617229 -0.037753
123320000 2003-11-28T19:32:15.816980 332 1448740469.709831 1448740469.747705 -0.037874
123340000 2003-11-29T01:05:35.816975 333 1448760469.840186 1448760469.878181 -0.037996
123360000 2003-11-29T06:38:55.816969 333 1448780469.970540 1448780470.008657 -0.038117
123380000 2003-11-29T12:12:15.816964 333 1448800470.100895 1448800470.139133 -0.038238
123400000 2003-11-29T17:45:35.816959 333 1448820470.231250 1448820470.269609 -0.038360
123420000 2003-11-29T23:18:55.816953 333 1448840470.361604 1448840470.400086 -0.038481
123440000 2003-11-30T04:52:15.816948 334 1448860470.491959 1448860470.530562 -0.038603
123460000 2003-11-30T10:25:35.816942 334 1448880470.622314 1448880470.661038 -0.038724
123480000 2003-11-30T15:58:55.816937 334 1448900470.752668 1448900470.791514 -0.038846
123500000 2003-11-30T21:32:15.816931 334 1448920470.883023 1448920470.921990 -0.038967
123520000 2003-12-01T03:05:35.816926 335 1448940471.013378 1448940471.052466 -0.039089
123540000 2003-12-01T08:38:55.816920 335 1448960471.143732 1448960471.182942 -0.039210
123560000 2003-12-01T14:12:15.816914 335 1448980471.274087 1448980471.313419 -0.039331
123580000 2003-12-01T19:45:35.816909 335 1449000471.404442 1449000471.443895 -0.039453
123600000 2003-12-02T01:18:55.816903 336 1449020471.534972 1449020471.574371 -0.039399
123620000 2003-12-02T06:52:15.816898 336 1449040471.665794 1449040471.704847 -0.039053
123640000 2003-12-02T12:25:35.816892 336 1449060471.796616 1449060471.835323 -0.038707
123660000 2003-12-02T17:58:55.816886 336 1449080471.927438 1449080471.965799 -0.038361
123680000 2003-12-02T23:32:15.816881 336 1449100472.058261 1449100472.096275 -0.038015
123700000 2003-12-03T05:05:35.816875 337 1449120472.189083 1449120472.226751 -0.037669
123720000 2003-12-03T10:38:55.816869 337 1449140472.319905 1449140472.357228 -0.037323
123740000 2003-12-03T16:12:15.816864 337 1449160472.450727 1449160472.487704 -0.036977
123760000 2003-12-03T21:45:35.816858 337 1449180472.581549 1449180472.618180 -0.036630
123780000 2003-12-04T03:18:55.816852 338 1449200472.712372 1449200472.748656 -0.036284
123800000 2003-12-04T08:52:15.816846 338 1449220472.843194 1449220472.879132 -0.035938
123820000 2003-12-04T14:25:35.816841 338 1449240472.974016 1449240473.009608 -0.035592
123840000 2003-12-04T19:58:55.816835 338 1449260473.104838 1449260473.140084 -0.035246
123860000 2003-12-05T01:32:15.816829 339 1449280473.235660 1449280473.270560 -0.034900
123880000 2003-12-05T07:05:35.816823 339 1449300473.366482 1449300473.401037 -0.034554
123900000 2003-12-05T12:38:55.816818 339 1449320473.497305 1449320473.531512 -0.034208
123920000 2003-12-05T18:12:15.816812 339 1449340473.628127 1449340473.661989 -0.033862
123940000 2003-12-05T23:45:35.816806 339 1449360473.758949 1449360473.792465 -0.033516
123960000 2003-12-06T05:18:55.816800 340 1449380473.889771 1449380473.922941 -0.033170
123980000 2003-12-06T10:52:15.816794 340 1449400474.020593 1449400474.053417 -0.032824
124000000 2003-12-06T16:25:35.816788 340 1449420474.151416 1449420474.183893 -0.032478
124020000 2003-12-06T21:58:55.816782 340 1449440474.282238 1449440474.314369 -0.032132
124040000 2003-12-07T03:32:15.816776 341 1449460474.413060 1449460474.444845 -0.031785
124060000 2003-12-07T09:05:35.816770 341 1449480474.543882 1449480474.575321 -0.031439
124080000 2003-12-07T14:38:55.816765 341 1449500474.674705 1449500474.705798 -0.031093
124100000 2003-12-07T20:12:15.816759 341 1449520474.805527 1449520474.836274 -0.030747
124120000 2003-12-08T01:45:35.816753 342 1449540474.936349 1449540474.966750 -0.030401
124140000 2003-12-08T07:18:55.816747 342 1449560475.067171 1449560475.097226 -0.030055
124160000 2003-12-08T12:52:15.816741 342 1449580475.197993 1449580475.227702 -0.029709
124180000 2003-12-08T18:25:35.816735 342 1449600475.328815 1449600475.358178 -0.029363
124200000 2003-12-08T23:58:55.816729 342 1449620475.459638 1449620475.488654 -0.029017
124220000 2003-12-09T05:32:15.816723 343 1449640475.590460 1449640475.619131 -0.028671
124240000 2003-12-09T11:05:35.816717 343 1449660475.721282 1449660475.749607 -0.028325
124260000 2003-12-09T16:38:55.816711 343 1449680475.852104 1449680475.880083 -0.027979
124280000 2003-12-09T22:12:15.816705 343 1449700475.982926 1449700476.010559 -0.027633
124300000 2003-12-10T03:45:35.816698 344 1449720476.113749 1449720476.141035 -0.027287
124320000 2003-12-10T09:18:55.816692 344 1449740476.244571 1449740476.271511 -0.026940
124340000 2003-12-10T14:52:15.816686 344 1449760476.375393 1449760476.401987 -0.026594
124360000 2003-12-10T20:25:35.816680 344 1449780476.506215 1449780476.532463 -0.026248
124380000 2003-12-11T01:58:55.816674 345 1449800476.637037 1449800476.662940 -0.025902
124400000 2003-12-11T07:32:15.816668 345 1449820476.767859 1449820476.793416 -0.025556
124420000 2003-12-11T13:05:35.816662 345 1449840476.898682 1449840476.923892 -0.025210
124440000 2003-12-11T18:38:55.816656 345 1449860477.029504 1449860477.054368 -0.024864
124460000 2003-12-12T00:12:15.816650 346 1449880477.160326 1449880477.184844 -0.024518
124480000 2003-12-12T05:45:35.816643 346 1449900477.291148 1449900477.315320 -0.024172
124500000 2003-12-12T11:18:55.816637 346 1449920477.421971 1449920477.445796 -0.023826
124520000 2003-12-12T16:52:15.816631 346 1449940477.552793 1449940477.576272 -0.023480
124540000 2003-12-12T22:25:35.816625 346 1449960477.683615 1449960477.706748 -0.023134
124560000 2003-12-13T03:58:55.816619 347 1449980477.814437 1449980477.837224 -0.022788
124580000 2003-12-13T09:32:15.816612 347 1450000477.945259 1450000477.967701 -0.022442
124600000 2003-12-13T15:05:35.816606 347 1450020478.076082 1450020478.098177 -0.022095
124620000 2003-12-13T20:38:55.816600 347 1450040478.206904 1450040478.228653 -0.021749
124640000 2003-12-14T02:12:15.816594 348 1450060478.337726 1450060478.359129 -0.021403
124660000 2003-12-14T07:45:35.816587 348 1450080478.468548 1450080478.489605 -0.021057
124680000 2003-12-14T13:18:55.816581 348 1450100478.599370 1450100478.620081 -0.020711
124700000 2003-12-14T18:52:15.816575 348 1450120478.730192 1450120478.750557 -0.020365
124720000 2003-12-15T00:25:35.816569 349 1450140478.861015 1450140478.881034 -0.020019
124740000 2003-12-15T05:58:55.816562 349 1450160478.991837 1450160479.011510 -0.019673
124760000 2003-12-15T11:32:15.816556 349 1450180479.122659 1450180479.141986 -0.019327
124780000 2003-12-15T17:05:35.816550 349 1450200479.253481 1450200479.272462 -0.018981
124800000 2003-12-15T22:38:55.816543 349 1450220479.384303 1450220479.402938 -0.018635
124820000 2003-12-16T04:12:15.816537 350 1450240479.515126 1450240479.533414 -0.018289
124840000 2003-12-16T09:45:35.816531 350 1450260479.645948 1450260479.663890 -0.017943
124860000 2003-12-16T15:18:55.816524 350 1450280479.776770 1450280479.794366 -0.017597
124880000 2003-12-16T20:52:15.816518 350 1450300479.907592 1450300479.924843 -0.017250
124900000 2003-12-17T02:25:35.816511 351 1450320480.038414 1450320480.055319 -0.016904
124920000 2003-12-17T07:58:55.816505 351 1450340480.169237 1450340480.185795 -0.016558
124940000 2003-12-17T13:32:15.816499 351 1450360480.300059 1450360480.316271 -0.016212
124960000 2003-12-17T19:05:35.816492 351 1450380480.430881 1450380480.446747 -0.015866
124980000 2003-12-18T00:38:55.816486 352 1450400480.561703 1450400480.577223 -0.015520
125000000 2003-12-18T06:12:15.816480 352 1450420480.692525 1450420480.707699 -0.015174
125020000 2003-12-18T11:45:35.816473 352 1450440480.823348 1450440480.838175 -0.014828
125040000 2003-12-18T17:18:55.816467 352 1450460480.954170 1450460480.968652 -0.014482
125060000 2003-12-18T22:52:15.816460 352 1450480481.084992 1450480481.099128 -0.014136
125080000 2003-12-19T04:25:35.816454 353 1450500481.215814 1450500481.229604 -0.013790
125100000 2003-12-19T09:58:55.816447 353 1450520481.346636 1450520481.360080 -0.013444
125120000 2003-12-19T15:32:15.816441 353 1450540481.477458 1450540481.490556 -0.013098
125140000 2003-12-19T21:05:35.816434 353 1450560481.608281 1450560481.621032 -0.012751
125160000 2003-12-20T02:38:55.816428 354 1450580481.739103 1450580481.751508 -0.012405
125180000 2003-12-20T08:12:15.816421 354 1450600481.869925 1450600481.881984 -0.012059
125200000 2003-12-20T13:45:35.816415 354 1450620482.000661 1450620482.012460 -0.011799
125220000 2003-12-20T19:18:55.816408 354 1450640482.131020 1450640482.142937 -0.011916
125240000 2003-12-21T00:52:15.816402 355 1450660482.261379 1450660482.273413 -0.012033
125260000 2003-12-21T06:25:35.816395 355 1450680482.391739 1450680482.403889 -0.012150
